uno	id	pw	uname	phone	amount	gender
1	hair001	hair001!	김지영	010-1234-5678	380000	2
2	hair002	hair002!	이승우	010-9876-5432	740000	2
3	hair003	hair003!	박지은	010-2468-1357	970000	2
4	hair004	hair004!	최민준	010-7593-1826	600000	2
5	hair005	hair005!	임서연	010-8357-4061	450000	1
6	hair006	hair006!	정지원	010-6428-9753	520000	1
7	hair007	hair007!	홍수민	010-5179-6340	920000	2
8	hair008	hair008!	윤서준	010-3542-8976	540000	2
9	hair009	hair009!	장예은	010-9865-3207	620000	1
10	hair010	hair010!	송진우	010-7236-8401	730000	2
11	hair011	hair011!	이지현	010-1234-5670	620000	1
12	hair012	hair012!	박준서	010-9876-5431	720000	1
13	hair013	hair013!	김민지	010-2468-1356	630000	1
14	hair014	hair014!	최예원	010-7593-1825	470000	1
15	hair015	hair015!	정서윤	010-8357-4060	440000	2
16	hair016	hair016!	홍하늘	010-6428-9752	430000	2
17	hair017	hair017!	윤도윤	010-5179-6347	320000	2
18	hair018	hair018!	장서연	010-3542-8973	350000	1
19	hair019	hair019!	송준영	010-9865-3206	600000	2
20	hair020	hair020!	임가온	010-7236-8400	840000	2
21	hair021	hair021!	박성민	010-1234-5675	360000	2
22	hair022	hair022!	이서율	010-9876-5430	560000	1
23	hair023	hair023!	김민서	010-2468-1355	530000	2
24	hair024	hair024!	최지훈	010-7593-1824	460000	1
25	hair025	hair025!	정아린	010-8357-4059	860000	2
26	hair026	hair026!	홍하랑	010-6428-9751	650000	2
27	hair027	hair027!	윤주원	010-5179-6346	680000	1
28	hair028	hair028!	장도현	010-3542-8972	540000	2
29	hair029	hair029!	송서현	010-9865-3205	990000	2
30	hair030	hair030!	임하은	010-7236-8403	780000	2
31	hair031	hair031!	박태민	010-1234-5672	880000	2
32	hair032	hair032!	이민재	010-9876-5429	820000	1
33	hair033	hair033!	김서아	010-2468-1354	860000	1
34	hair034	hair034!	최준서	010-7593-1823	820000	2
35	hair035	hair035!	정서연	010-8357-4058	470000	2
36	hair036	hair036!	홍수아	010-6428-9750	300000	2
37	hair037	hair037!	윤승민	010-5179-6345	360000	2
38	hair038	hair038!	장하율	010-3542-8971	750000	2
39	hair039	hair039!	송지우	010-9865-3204	510000	2
40	hair040	hair040!	임지민	010-7236-8402	690000	2
41	hair041	hair041!	박주원	010-1234-5673	730000	1
42	hair042	hair042!	이준우	010-9876-5428	560000	1
43	hair043	hair043!	김하윤	010-2468-1353	560000	1
44	hair044	hair044!	최주현	010-7593-1822	680000	2
45	hair045	hair045!	정하람	010-8357-4057	930000	2
46	hair046	hair046!	홍성민	010-6428-9749	860000	2
47	hair047	hair047!	윤수민	010-5179-6344	320000	1
48	hair048	hair048!	장민서	010-3542-8970	780000	2
49	hair049	hair049!	송은서	010-9865-3203	900000	1
50	hair050	hair050!	임세은	010-7236-8405	400000	2
51	hair051	hair051!	박예은	010-1234-5671	950000	1
52	hair052	hair052!	이도현	010-9876-5427	890000	2
53	hair053	hair053!	김서윤	010-2468-1352	800000	1
54	hair054	hair054!	최하율	010-7593-1821	590000	2
55	hair055	hair055!	정준서	010-8357-4056	670000	2
56	hair056	hair056!	홍하람	010-6428-9748	620000	1
57	hair057	hair057!	윤수현	010-5179-6343	350000	1
58	hair058	hair058!	장은호	010-3542-8969	340000	2
59	hair059	hair059!	송민준	010-9865-3202	540000	2
60	hair060	hair060!	임주원	010-7236-8404	400000	1
61	hair061	hair061!	박민서	010-1234-5676	990000	2
62	hair062	hair062!	이서현	010-9876-5426	480000	2
63	hair063	hair063!	김주원	010-2468-1351	990000	2
64	hair064	hair064!	최서율	010-7593-1820	380000	2
65	hair065	hair065!	정수아	010-8357-4055	460000	2
66	hair066	hair066!	홍가윤	010-6428-9747	570000	2
67	hair067	hair067!	윤다온	010-5179-6342	600000	1
68	hair068	hair068!	장지안	010-3542-8968	310000	1
69	hair069	hair069!	송가윤	010-9865-3201	460000	1
70	hair070	hair070!	임민서	010-7236-8406	440000	2
71	hair071	hair071!	박서영	010-1234-5674	1000000	1
72	hair072	hair072!	이주현	010-9876-5425	530000	2
73	hair073	hair073!	김민준	010-2468-1350	610000	1
74	hair074	hair074!	최다온	010-7593-1819	610000	1
75	hair075	hair075!	정하율	010-8357-4054	860000	1
76	hair076	hair076!	홍준서	010-6428-9746	700000	1
77	hair077	hair077!	윤가윤	010-5179-6341	830000	2
78	hair078	hair078!	장서아	010-3542-8967	920000	2
79	hair079	hair079!	송다현	010-9865-3200	570000	1
80	hair080	hair080!	임주희	010-7236-8407	1000000	1
